Title,Price,Description,Link,Date,Usage
"M.C. Escher (1898-1972), after - Lucht en water","€ 50,00",Vintage( after)lucht en water origineel gemaakt door de nederlandse kunstenaar m.c escher heirs gesigneerd in de plaat gemaakt op,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-overige-antiek/a1509952136-m-c-escher-1898-1972-after-lucht-en-water,Gisteren,No usage
Escher Drawing hands 1988 Cordon art,Bieden,"Escher drawing hands 1988 cordon art heeft scheurtje in passpartout wit aan rechterzijkant. Vintage m. C. Escher (1898-1972, neder",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-schilderijen-abstract/m2226473490-escher-drawing-hands-1988-cordon-art,Gisteren,Ophalen of Verzenden
"M.C. Escher (1898-1972) after - Sky and Water, 1938","€ 41,00","Prachtige expressieve kunstprint van m.c. Escher in het formaat 65 x 55 cm met de titel lucht en water, 1938. Het werk is een hoog",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-overige-antiek/a1509852354-m-c-escher-1898-1972-after-sky-and-water-1938,16 jan 25,No usage
"Schilderij tekening van J. Frater, vriend van Maurits Escher",Bieden,"Werk van j. Frater gesigneerd 6-11-'54 te koop. De lijst meet 58cm x 45cm en het werk in kader is +/- 40cm x 28,5cm. Jim willi",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-tekeningen-en-foto-s/m2224048971-schilderij-tekening-van-j-frater-vriend-van-maurits-escher,16 jan 25,Ophalen of Verzenden
M.C. Escher (1898-1972) - Infinity Fishes (Pisces) - Very,"€ 1.000,00",Collectors item kleuren lithografie op 310 arches katoenpapier nooit ingelijst geweest slechts beschikbaar in een gelimiteerde opl,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-overige-antiek/a1509907749-m-c-escher-1898-1972-infinity-fishes-pisces-very,16 jan 25,No usage
M.C. Escher Lizards puzzel.,Bieden,"Grote m.c.escher grondpuzzel bestaande uit 10 stuks foam delen in de vorm van een lizard (hagedis), waarmee meerdere figuren kunne",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/m2222251929-m-c-escher-lizards-puzzel,11 jan 25,Ophalen of Verzenden
M.C. Escher - Balcony (1945),"€ 180,00",Auteur: maurits cornelis escher (1898-1972) titel: balkon (1945) afmeting: 65 x 55 cm copyright: uitgegeven door de m.c.escher com,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-tekeningen-en-foto-s/a1509880895-m-c-escher-balcony-1945,Eergisteren,No usage
M.C. Escher Ingelijst Afmeting ca 59 x 70 cm Gesigneerd,Zie omschrijving,M.c. Escher ingelijst afmeting ca 59 x 70 cm gesigneerd in de plaat niet genummerd ophalen of verzenden zie ook mijn anderen werk,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-schilderijen-klassiek/m2226204622-m-c-escher-ingelijst-afmeting-ca-59-x-70-cm-gesigneerd,Gisteren,Ophalen
Poster M.C Escher,"€ 10,00",Titel: klimmen en dalen / ascending and descending / treppauf und treppab. Kunstenaar: m.c. Escher gepubliceerd door g.w. Breughel,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-tekeningen-en-foto-s/m2208191746-poster-m-c-escher,2 dec 24,Ophalen of Verzenden
Maurits Cornelis Escher - The M.C. Escher Company -,"€ 29,00","Reproductie van de m.c. Escher - metamorphose ii. R gemaakt naar de originele houtsnede uit 1939-1940 en verdeeld over 4 delen, di",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-stoelen-en-banken/a1509864576-maurits-cornelis-escher-the-m-c-escher-company,2 dec 24,No usage
"M.C. Escher - Metamorphose II, vlakvullingsmotief met vogels","€ 25,00","Originele reproductie van metamorphose ii, door m.c. Escher, editie g.w. Breughel amstelhoek holland, 1972. In goede conditie. De",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-stoelen-en-banken/a1509864619-m-c-escher-metamorphose-ii-vlakvullingsmotief-met-vogels,17 nov 24,No usage
Escher poster - Zwaartekracht - incl frame - A0,"€ 15,00","Originele m.c. Escher print getiteld 'zwaartekracht' in nieuwstaat. Komt met frame, framemaat is circa a0 formaat (iets kl",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-tekeningen-en-foto-s/m2208275114-escher-poster-zwaartekracht-incl-frame-a0,2 dec 24,Ophalen
Maurits Cornelis Escher - Published by G.W. Breughel -,"€ 3,00","M.c. Escher metamorphose ,periode 1972 gemaakt op dik papier. Gesigneerd in de plaat. Het komt uit het jaar dat hij overleed. Zie",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-stoelen-en-banken/a1510007415-maurits-cornelis-escher-published-by-g-w-breughel,2 dec 24,No usage
"M.C. Escher (1898-1972) after - Sky and Water, 1938","€ 41,00","Prachtige expressieve kunstprint van m.c. Escher in het formaat 65 x 55 cm met de titel lucht en water, 1938. Het werk is een hoog",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-overige-antiek/a1509852354-m-c-escher-1898-1972-after-sky-and-water-1938,6 dec 24,No usage
M.C. Escher (1898-1972) - Infinity Fishes (Pisces) - Very,"€ 1.000,00",Collectors item kleuren lithografie op 310 arches katoenpapier nooit ingelijst geweest slechts beschikbaar in een gelimiteerde opl,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-overige-antiek/a1509907749-m-c-escher-1898-1972-infinity-fishes-pisces-very,6 dec 24,No usage
M.C. Escher - Balcony (1945),"€ 180,00",Auteur: maurits cornelis escher (1898-1972) titel: balkon (1945) afmeting: 65 x 55 cm copyright: uitgegeven door de m.c.escher com,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-tekeningen-en-foto-s/a1509880895-m-c-escher-balcony-1945,6 dec 24,No usage
Maurits Cornelis Escher - The M.C. Escher Company -,"€ 29,00","Reproductie van de m.c. Escher - metamorphose ii. R gemaakt naar de originele houtsnede uit 1939-1940 en verdeeld over 4 delen, di",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-stoelen-en-banken/a1509864576-maurits-cornelis-escher-the-m-c-escher-company,6 dec 24,No usage
"M.C. Escher - Metamorphose II, vlakvullingsmotief met vogels","€ 25,00","Originele reproductie van metamorphose ii, door m.c. Escher, editie g.w. Breughel amstelhoek holland, 1972. In goede conditie. De",https://www.marktplaats.nl/v/antiek-en-kunst/antiek-meubels-stoelen-en-banken/a1509864619-m-c-escher-metamorphose-ii-vlakvullingsmotief-met-vogels,6 dec 24,No usage
M.C. ESCHER - Kaleidozyklen - Nieuwstaat 1987 - Zelf vouwen,Bieden,M.c. Escher kaleidozyklen (nieuwstaat) boek met vele originele kunstwerken van de beroemde kunstenaar m.c escher. Deze kunstwerken,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-tekeningen-en-foto-s/m2209981569-m-c-escher-kaleidozyklen-nieuwstaat-1987-zelf-vouwen,6 dec 24,Ophalen of Verzenden
